Hadith,reference
"Abu Sa'id al-Khudri przekazał, że Apostoł Allah (ﷺ) powiedział, że Allah powie do mieszkańców Raju: O, Mieszkańcy Raju, a oni powiedzieliby w odpowiedzi: Na Twoją służbę i upodobanie, Panie nasz, dobro jest w Twojej Ręce. On (Pan) powiedziałby: Czy jesteście teraz zadowoleni? Oni powiedzieliby: Dlaczego nie mielibyśmy być zadowoleni, Panie, skoro dałeś nam to, czego nie dałeś żadnemu ze swoich stworzeń? On jednak powiedziałby: Czy nie mogę dać wam (czegoś) jeszcze wspanialszego niż to? A oni powiedzieliby: Panie, cóż może być wspanialszego od tego? A On powiedziałby: Sprawię, że spłynie na was Moja przyjemność i nigdy potem nie będę wami zdenerwowany.",Sahih Muslim 2829
"Abu Sa'id al-Khudri przekazał, że Posłaniec Allah (ﷺ) powiedział: Mieszkańcy Raju widzieliby mieszkańców mieszkania nad nimi tak, jak wy widzicie świecące planety, które pozostają na wschodnim i zachodnim horyzoncie z powodu wyższości, jaką jedni mają nad innymi. Oni powiedzieli: Posłańcu Allah, czy w tych siedzibach apostołów inni poza nimi nie mogliby dotrzeć? On powiedział: Tak, dosięgną do nich, przez Tego, w którego ręku jest moje życie, ci, którzy wierzą w Boga i uznają Prawdę.",Sahih Muslim 2831b
"Anas b. Malik przekazał, że Posłaniec Allah (ﷺ) powiedział: W Raju jest ulica, na którą będą przychodzić w każdy piątek. Północny wiatr będzie wiał i rozproszy zapach na ich twarzach i ubraniach i doda im piękna i urody, a potem wrócą do swojej rodziny po dodaniu blasku do ich piękna i urody, a ich rodzina powie do nich: Na Allah, wzrosłeś w urodzie i piękności po opuszczeniu nas, a oni powiedzieliby: Na Allah, ty również wzrosłaś w urodzie i wdzięku po nas.",Sahih Muslim 2833
"Muhammad przekazał, że niektórzy (ludzie) stwierdzili z poczuciem dumy, a niektórzy dyskutowali, czy w Raju będzie więcej mężczyzn, czy więcej kobiet. Na tej podstawie Abu Huraira przekazał, że Abu'l Qasim (Święty Prorok) (ﷺ) powiedział: (Członkowie) pierwszej grupy, która dostanie się do Raju będą mieli twarze tak jasne jak księżyc w pełni podczas nocy, a następni po tej grupie będą mieli twarze tak jasne jak świecące gwiazdy na niebie i każdy człowiek będzie miał dwie żony, a szpik ich podudzi będzie błyszczał pod ciałem i nie będzie nikogo bez żony w Raju.",Sahih Muslim 2834a
"Jabir relacjonował: Słyszałem Apostoła Allah (ﷺ) jak mówił, że mieszkańcy Raju będą jeść i pić, ale nie będą ani pluć, ani oddawać wody, ani wypróżniać się, ani cierpieć na katar. Powiedziano: W takim razie, co stanie się z jedzeniem? Wtedy on powiedział: Będą bekać i pocić się (i to będzie koniec z ich jedzeniem), a ich pot będzie taki jak piżmo i będą wysławiać i chwalić Allah z taką łatwością jak ty oddychasz.",Sahih Muslim 2835a
"Abu Huraira przekazał, że Apostoł Allah (ﷺ) powiedział: Ten, kto dostałby się do Raju (zostałby stworzony, aby cieszyć się taką wieczną) błogością, że ani nie zostałby pozbawiony środków do życia, ani jego ubrania nie zużyłyby się, ani jego młodość nie przeminie.",Sahih Muslim 2836
"Abu Huraira przekazał, że Posłaniec Allah (ﷺ) powiedział: Saihan, Jaihan, Eufrat i Nil należą do rzek Raju.",Sahih Muslim 2839
"Narrat Sahl: Prorok (ﷺ) powiedział: ""W Raju jest brama zwana Ar-Raiyan i ci, którzy przestrzegają postu wejdą przez nią w Dniu Zmartwychwstania i nikt oprócz nich nie wejdzie przez nią. Zostanie powiedziane: „Gdzie są ci, którzy zwykli przestrzegać postu?”. Oni wstaną i nikt oprócz nich nie wejdzie przez nią. Po ich wejściu brama zostanie zamknięta i nikt przez nią nie wejdzie"".",Sahih al-Bukhari 1896
"Narrat `Abdullah: Posłaniec Allah (ﷺ) powiedział: ""Osobą, która jako ostatnia wejdzie do Raju i jako ostatnia wyjdzie z Piekła (Ognia) będzie człowiek, który wyjdzie czołgając się, a jego Pan powie mu: 'Wejdź do Raju.' On odpowie: „Panie, Raj jest pełny”. Allah wyda mu ten sam rozkaz trzykrotnie i za każdym razem człowiek udzieli Mu tej samej odpowiedzi, tj. Wtedy Allah powie: „Dziesięć razy świat jest dla ciebie”. """,Sahih al-Bukhari 7511
"Abu Huraira przekazał, że Posłaniec Allah (ﷺ) powiedział: Ten, kto kocha spotykać się z Allah, Allah kocha spotykać się z nim, a ten, kto nie lubi spotykać się z Allah, Allah brzydzi się spotykać z nim. Ja (Shuraih b. Hani, jeden z narratorów) przyszedłem do A'iszy i powiedziałem jej: Matko wiernych, słyszałem, jak Abu Huraira opowiadał od Posłańca Allah (ﷺ), co, jeśli jest to rzeczywiście prawdą, jest dla nas zniszczeniem. Na to ona powiedziała: Ci są w rzeczywistości zrujnowani, którzy są zrujnowani słowami Posłańca Allah (ﷺ). Jakie są (słowa, które twoim zdaniem spowodowałyby twoje zniszczenie)? Powiedział, że Posłaniec Allah (ﷺ) powiedział: Ten, kto kocha spotykać się z Allah, Allah również kocha spotykać się z nim, a ten, kto nie lubi spotykać się z Allah, Allah również brzydzi się spotykać z nim, i nie ma nikogo wśród nas, kto nie nienawidziłby śmierci. Na to ona powiedziała: Posłaniec Allah (ﷺ) rzeczywiście to powiedział, ale nie oznacza to tego, co ty interpretujesz, ale sugeruje (czas), kiedy ktoś traci blask oczu, a w gardle pojawia się chrzęst, dreszcz w ciele i drgawki w palcach (w chwili śmierci). (To mniej więcej w tym czasie) powiedziano: Ten, kto kocha spotkać się z Allah, Allah będzie chciał się z nim spotkać, a ten, kto nie lubi spotkania Allah, Allah będzie się brzydzisz jego spotkaniem.",Sahih Muslim 2685a
"Przekazano, że Jabir bin Samurah powiedział: „Posłaniec Allah (ﷺ) wyszedł do nas i powiedział: 'Czy nie ustawicie się w szeregach, tak jak aniołowie ustawiają się w szeregach przed swoim Panem? Powiedzieli: 'Jak aniołowie ustawiają się w szeregach przed swoim Panem? Powiedział: 'Uzupełniają pierwszy szereg i wypełniają luki w szeregach'”.",Sunan an-Nasa'i 816
"Kiedy człowiek idzie odwiedzić swojego chorego brata muzułmanina, idzie ścieżką Raju, aż usiądzie, a kiedy już usiądzie, jest okryty miłosierdziem. Jeśli przyjdzie rano, siedemdziesiąt tysięcy aniołów modli się za niego do wieczora, a jeśli przyjdzie wieczorem, siedemdziesiąt tysięcy aniołów modli się za niego do rana.",Hisn al-Muslim 149
"Abu Hurairah (oby Allah był z niego zadowolony) przekazał: Posłaniec Allah (ﷺ) powiedział: „Aniołowie modlą się za jednego z was, dopóki pozostaje on w miejscu, w którym wykonał Salat (modlitwę) w stanie Wudu”. Oni (aniołowie) mówią: „O Allah! Wybacz mu, o Allah! Zmiłuj się nad nim”. [Al-Bukhari]",Riyad as-Salihin 1062
"Przekazał Abu Huraira: Prorok (ﷺ) powiedział: „Kiedy Allah nakazuje coś na Niebie, aniołowie uderzają skrzydłami w posłuszeństwie Jego Oświadczeniu, co brzmi jak łańcuch przeciągnięty po skale. Jego Oświadczenie: „Dopóki strach nie zostanie wygnany z ich serc, Aniołowie mówią: „Co powiedział wasz Pan?” „Oni odpowiadają: „(Powiedział) Prawdę. A On jest Najwyższy, Wielki”. (34.23)",Sahih al-Bukhari 7481
"Abu Huraira przekazał: Posłaniec Allah (ﷺ) powiedział: Aniołowie zmieniają się wśród was nocą i dniem, a wszyscy zbierają się na modlitwach o świcie i po południu. Ci (z aniołów), którzy spędzają noc wśród was, wstępują, a ich Pan pyta ich, chociaż On jest najlepiej poinformowany o nich: Jak opuściliście Moje sługi? - mówią: Opuściliśmy ich, gdy się modlili, i przyszliśmy do nich, gdy się modlili.",Sahih Muslim 632a
"‘A’isha przekazała, że ​​Posłaniec Boży powiedział: „Bóg i Jego aniołowie błogosławią tych, którzy są po prawej stronie rzędów”. Abu Dawud przekazał to.",Mishkat al-Masabih 1096
"Zostało przekazane od Abu Hurairah, że: Prorok (ﷺ) powiedział: „Kiedy nadchodzi piątek, aniołowie siadają u drzwi meczetu i zapisują, kto przychodzi na modlitwy Jumu'ah. Następnie, kiedy wychodzi Imam, aniołowie zwijają swoje zwoje”. Posłaniec Allah (ﷺ) powiedział: „Ten, kto przychodzi wcześnie na modlitwy Jumu'ah, jest jak ten, kto składa w ofierze wielbłąda, potem jak ten, kto składa w ofierze krowę, potem jak ten, kto składa w ofierze owcę, potem jak ten, kto składa w ofierze kaczkę, potem jak ten, kto składa w ofierze kurczaka, potem jak ten, kto składa w ofierze jajko”.",Sunan an-Nasa'i 1385
"Anas przekazał, że Posłaniec Allah (s.a.w) powiedział: „Dadżal przybędzie do Medyny i zobaczy, że aniołowie ją otaczają. Ani plaga, ani Dadżal tam nie wejdą, jeśli Allah zechce”.",Jami` at-Tirmidhi 2242
"Abu Sa'id Al-Khudri (niech Allah będzie z niego zadowolony) przekazał: Dżibril (Gabriel) przyszedł do Proroka (ﷺ) i powiedział: „O Muhammadzie (ﷺ)! Czy czujesz się chory?” On (ﷺ) powiedział: „Tak”. Dżibril błagał w ten sposób (tj. wykonał Ruqyah): „Bismillahi arqika, min kulli shay'in yu'dhika, min sharri kulli nafsin aw 'ayni hasidi, Allahu yashfika, bismillahi arqika. [W imieniu Allah. Recytuję nad tobą (aby cię oczyścić) ze wszystkiego, co cię trapi, i ze wszelkiego szkodliwego zła i ze zła oczu zazdrośnika. Allah cię uleczy; i w imieniu Allah recytuję nad tobą]”. [Muslim].",Riyad as-Salihin 908
"Aisza (niech Allah będzie z niej zadowolony) przekazała: Posłaniec Allah (ﷺ) powiedział: „Aniołowie zostali stworzeni ze światła, dżiny zostały stworzone z bezdymnego płomienia ognia, a 'Adam został stworzony z tego, co ci powiedziano (tj. z dźwięcznej gliny podobnej do gliny garncarskiej)”. [Muslim].",Riyad as-Salihin 1846
"Ali przekazał, że Posłaniec Allah (s.a.w) powiedział: „Zaprawdę w Raju są komnaty, których zewnętrze można zobaczyć z ich wnętrza, a ich wnętrze można zobaczyć z ich zewnętrza”. Pewien Beduin stanął i powiedział: „Dla kogo one są, o Proroku Allah?”. Powiedział: „Dla tych, którzy dobrze mówią, karmią innych, regularnie poszczą i wykonują modlitwę dla Allah w nocy, gdy ludzie śpią”.","Jami` at-Tirmidhi 2527
"
"Sahl b. Sa'd przekazał, że Posłaniec Allah (ﷺ) powiedział: Ludzie zostaną zgromadzeni w Dniu Zmartwychwstania na białej równinie o czerwonawym odcieniu, podobnej do bochenka białego chleba, bez żadnych znaków dla kogokolwiek.",Sahih Muslim 2790
"A'isha przekazała: Zapytałam Posłańca Allah (ﷺ) o słowa Allah, Wzniosłego i Chwalebnego: „W dniu, w którym ziemia zostanie zamieniona na inną ziemię, a Niebo zostanie zamienione na inne Niebo (XiV. 48), (i zapytałam: ) (Posłańca Allah), gdzie będą ludzie tego dnia? Powiedział: Będą na Sirat (moście nad krańcami piekła).",Sahih Muslim 2791
"Abu al-Sa'id Khudri przekazał, że Posłaniec Allah (ﷺ) powiedział, że ziemia zamieni się w jeden chleb w Dniu Zmartwychwstania, a Wszechmogący obróci go w swojej dłoni, tak jak jeden z was obraca bochenek podczas podróży. Będzie to uczta zorganizowana na cześć mieszkańców Raju. On (narrator) dalej opowiadał, że przyszła osoba spośród Żydów i powiedziała: Abu al-Qasim, niech Współczujący Pan będzie z ciebie zadowolony! Czy mogę poinformować cię o uczcie zorganizowanej na cześć mieszkańców Raju w Dniu Zmartwychwstania? On powiedział: Zrób to, oczywiście. Powiedział: Ziemia stanie się jednym chlebem. Wtedy Posłaniec Allah (ﷺ) spojrzał w naszą stronę i roześmiał się, aż jego zęby trzonowe stały się widoczne. Następnie ponownie powiedział: Czy mogę poinformować was o tym, czym go przyprawią? Powiedział: Zrób to, oczywiście. Powiedział: Ich przyprawą byłby balim i ryba. Towarzysze Proroka (ﷺ) powiedzieli: Co to jest ten balam? Powiedział: Wół i ryba, z których nadmiaru wątroby byłoby w stanie zjeść siedemdziesiąt tysięcy ludzi.",Sahih Muslim 2792
"Abu Huraira przekazał, że Posłaniec Allah (ﷺ) powiedział: Nie ma nikogo, kogo same uczynki uprawniałyby do wejścia do Raju. Powiedziano mu: A, Posłańcu Allah, nawet ciebie? Na to on powiedział: Nawet mnie, ale mój Pan otula mnie Miłosierdziem.",Sahih Muslim 2816c
"A'isha przekazała, że ​​słyszała, jak Posłaniec Allah (ﷺ) powiedział: Ludzie będą zgromadzeni w Dniu Zmartwychwstania boso, nago i nieobrzezani. Powiedziałam: Posłańcu Allah, czy mężczyzna i kobieta będą razem w Dniu i czy będą patrzeć na siebie nawzajem? Na to Posłaniec Allah (ﷺ) powiedział: 'A'isha, sprawa byłaby dla nich zbyt poważna, aby patrzeć na siebie nawzajem.",Sahih Muslim 2859a
"Ibn 'Umar przekazał, że Posłaniec Allah (ﷺ) powiedział: Kiedy któryś z was umiera, pokazywane jest mu jego miejsce (w życiu pozagrobowym) rano i wieczorem; jeśli jest wśród mieszkańców Raju (pokazuje mu się miejsce) spośród mieszkańców Raju, a jeśli jest jednym z mieszkańców Piekła (pokazuje mu się miejsce) spośród mieszkańców Piekła, należy mu powiedzieć: To jest twoje miejsce, dopóki Allah nie wskrzesi cię w Dniu Zmartwychwstania (i nie wyśle ​​cię na twoje właściwe miejsce).",Sahih Muslim 2866a
"Al-Bara' b. `Azib przekazał, że Apostoł Allah (ﷺ) powiedział: Ten werset: „Allah daje wytrwałość tym, którzy wierzą stanowczym słowem” został objawiony w związku z męką grobu. Powiedziano mu: Kto jest twoim Panem? A on odpowiedział: Allah jest moim Panem, a Muhammad jest moim Apostołem (ﷺ), i to jest (co jest sugerowane) przez słowa Allah, Wywyższonego: „Allah utrzymuje wytrwałość tych, którzy wierzą stanowczym słowem na tym świecie i w życiu ostatecznym”.",Sahih Muslim 2871a
